Release,Date,Author Count,Commit Count
CakePHP 3.7.0 released,2018-12-09T01:19:50+00:00,0,0
CakePHP 3.7.1 released,2018-12-18T02:39:37+00:00,0,0
CakePHP 2.10.14 Released,2018-12-20T01:45:32+00:00,0,0
CakePHP 3.7.2 released,2019-01-04T03:02:35+00:00,0,0
CakePHP 3.7.3 released,2019-01-22T03:01:08+00:00,0,0
CakePHP 2.10.15 Released,2019-01-26T02:41:55+00:00,0,0
CakePHP 3.7.4 released,2019-02-09T20:30:00+00:00,0,0
CakePHP 2.10.16 Released,2019-03-01T02:45:41+00:00,0,0
CakePHP 3.7.5 released,2019-03-14T01:47:14+00:00,0,0
CakePHP 3.8.0-beta1 released,2019-03-31T01:22:00+00:00,0,0
CakePHP 3.7.6 released,2019-04-10T00:59:33+00:00,0,0
CakePHP 4.0.0-alpha1 released,2019-04-12T01:59:07+00:00,0,0
CakePHP 2.10.17 Released,2019-04-14T02:17:43+00:00,0,0
CakePHP 3.7.7 released,2019-04-24T01:30:19+00:00,0,0
CakePHP 3.6.15 released,2019-04-24T01:52:39+00:00,0,0
CakePHP 3.5.18 released,2019-04-24T02:05:09+00:00,0,0
CakePHP 3.8.0-RC1 released,2019-04-30T02:13:33+00:00,0,0
CakePHP 2.10.18 Released,2019-05-14T02:28:48+00:00,0,0
CakePHP 3.8.0-RC2 released,2019-05-19T01:45:45+00:00,0,0
CakePHP 3.7.8 released,2019-05-30T02:33:00+00:00,0,0
CakePHP 4.0.0-alpha2 Released,2019-06-01T02:59:10+00:00,0,0
CakePHP 3.8.0-RC3 released,2019-06-13T02:13:33+00:00,0,0
CakePHP 3.7.9 released,2019-06-20T01:33:59+00:00,0,0
CakePHP 3.8.0 released,2019-06-27T02:33:24+00:00,0,0
CakePHP 4.0.0-beta1 released,2019-06-30T02:38:52+00:00,0,0
CakePHP 3.8.1 released,2019-07-13T02:43:54+00:00,0,0
CakePHP 2.10.19 Released,2019-07-25T01:32:25+00:00,0,0
CakePHP 3.8.2 released,2019-08-09T02:42:41+00:00,0,0
CakePHP 4.0.0-beta2 released,2019-08-16T02:16:19+00:00,0,0
CakePHP 3.8.3 released,2019-08-31T02:05:56+00:00,0,0
CakePHP 4.0.0-beta3 released,2019-09-07T02:06:28+00:00,0,0
CakePHP 3.8.4 released,2019-09-14T01:34:27+00:00,0,0
CakePHP 3.8.5 released,2019-10-07T00:51:50+00:00,0,0
CakePHP 4.0.0-beta4 released,2019-10-10T02:24:03+00:00,0,0
CakePHP 3.8.6 released,2019-11-07T01:11:43+00:00,0,0
CakePHP 4.0.0-RC1 released,2019-11-16T02:38:24+00:00,0,0
CakePHP 4.0.0-RC2 released,2019-12-02T02:12:30+00:00,0,0
CakePHP 3.8.7 released,2019-12-08T02:59:05+00:00,0,0
CakePHP 4.0.0 released,2019-12-16T01:57:50+00:00,0,0
CakePHP 3.8.8 released,2019-12-29T02:09:22+00:00,0,0
CakePHP 4.0.1 released,2019-12-30T02:00:01+00:00,0,0
CakePHP 4.0.2 released,2020-01-12T02:53:20+00:00,0,0
CakePHP 2.10.20 Released,2020-01-17T01:56:03+00:00,0,0
CakePHP 3.8.9 released,2020-01-25T01:41:07+00:00,0,0
CakePHP 4.0.3 released,2020-01-26T02:19:21+00:00,0,0
CakePHP 3.8.10 released,2020-02-22T01:47:48+00:00,0,0
CakePHP 4.0.4 released,2020-02-22T02:14:22+00:00,0,0
CakePHP 4.0.5 released,2020-03-29T01:28:49+00:00,0,0
CakePHP 3.8.11 released,2020-04-05T23:57:53+00:00,0,0
CakePHP 4.0.6 released,2020-04-19T01:11:57+00:00,0,0
CakePHP 4.0.7 released,2020-05-02T03:19:58+00:00,0,0
CakePHP 3.8.12 released,2020-05-08T02:29:29+00:00,0,0
CakePHP 3.9.0-RC1 released,2020-05-09T02:32:37+00:00,0,0
CakePHP 4.1.0-beta1 released,2020-05-16T01:41:27+00:00,0,0
CakePHP 2.10.21 Released,2020-05-18T00:31:14+00:00,0,0
CakePHP 4.0.8 released,2020-05-24T01:27:35+00:00,0,0
CakePHP 3.9.0-RC2 released,2020-05-25T01:04:52+00:00,0,0
CakePHP 4.1.0-RC1 released,2020-06-01T02:29:36+00:00,0,0
CakePHP 2.10.22 Released,2020-06-07T02:16:36+00:00,0,0
CakePHP 3.8.13 released,2020-06-19T18:52:08+00:00,0,0
CakePHP 3.9.0 Released,2020-06-21T01:16:36+00:00,0,0
CakePHP 4.1.0-RC2 released,2020-06-22T02:26:34+00:00,0,0
CakePHP 4.0.9 released,2020-06-23T01:38:09+00:00,0,0
CakePHP 4.1.0 Released,2020-07-05T01:34:37+00:00,0,0
CakePHP 4.1.1 released,2020-07-19T02:28:50+00:00,0,0
CakePHP 3.9.1 released,2020-07-27T03:30:11+00:00,0,0
CakePHP 4.1.2 released,2020-08-09T01:12:00+00:00,0,0
CakePHP 4.1.3 released,2020-08-15T23:29:20+00:00,0,0
CakePHP 3.9.2 released,2020-08-30T01:40:12+00:00,0,0
CakePHP 4.1.4 released,2020-09-06T01:43:58+00:00,0,0
CakePHP 4.1.5 released,2020-10-05T01:00:40+00:00,0,0
CakePHP 3.9.3 released,2020-10-06T01:21:56+00:00,0,0
CakePHP 4.2.0-beta1 released,2020-11-02T03:24:34+00:00,0,0
CakePHP 4.1.6 released,2020-11-08T02:26:32+00:00,0,0
CakePHP 3.9.4 released,2020-11-14T19:08:03+00:00,0,0
CakePHP 2.10.23,2020-11-28T18:49:09+00:00,0,0
CakePHP 4.2.0-RC1 released,2020-11-30T02:36:47+00:00,0,0
CakePHP 4.0.10 Released,2020-12-08T03:04:12+00:00,0,0
CakePHP 4.1.7 released,2020-12-13T00:27:30+00:00,0,0
